SCOPE	NAME	VALUE_DEFAULT_SEMANTICS	PURPOSE	SOURCE
runtime/metal	DS4_METAL_STREAMING_EXPERT_TIMING_SUMMARY	presence control; unset: off/default; any value including 0 enables	Prints timing/profile diagnostics for streaming expert.	ds4_metal.m:13060
runtime/metal	DS4_METAL_STREAMING_IQ2_CPU_ROUTER_PROFILE	presence diagnostic; unset: off; any value including 0 enables	Prints timing/profile diagnostics for streaming IQ2 CPU router.	ds4.c:21645
runtime/metal	DS4_METAL_STREAMING_MAP_TRACE	nonempty value other than exact 0 enables; unset/empty/0 disables	Emits SSD model-map decisions.	ds4_metal.m:4849
runtime/metal	DS4_METAL_STREAMING_PREFILL_BATCH_SELECTED_ADDR_MAX	integer token maximum; default 800 for 384 experts, 760 for 256, 0 otherwise; <=0 disables automatic selection	Sets automatic maximum batch width for selected-address SSD prefill.	ds4_metal.m:14639
runtime/metal	DS4_METAL_STREAMING_PREFILL_BATCH_SELECTED_ADDR_MIN	integer token minimum; default 2 for 256/384 experts, 0 otherwise; <=0 disables automatic selection	Sets automatic minimum batch width for selected-address SSD prefill.	ds4_metal.m:14656
runtime/metal	DS4_METAL_STREAMING_PREFILL_BATCH_SELECTED_ADDR_PROFILE	presence diagnostic; unset: off; any value including 0 enables	Prints timing/profile diagnostics for streaming prefill batch selected address.	ds4_metal.m:18493
runtime/metal	DS4_METAL_STREAMING_PREFILL_CACHE_SEED_K	uint32 seed rows; default 1; 0 disables; above 64 clamps to 64	Sets how many prefill routing rows seed the decode expert cache.	ds4.c:21268
runtime/metal	DS4_METAL_STREAMING_PREFILL_CACHE_SEED_PROFILE	presence diagnostic; unset: off; any value including 0 enables	Prints timing/profile diagnostics for streaming prefill cache seed.	ds4_metal.m:17899
runtime/metal	DS4_METAL_STREAMING_PREFILL_LAYER_MADVISE_PROFILE	presence diagnostic; unset: off; any value including 0 enables	Prints timing/profile diagnostics for streaming prefill layer madvise.	ds4.c:19610
runtime/metal	DS4_METAL_STREAMING_PREFILL_LAYER_PAGEIN_NO_OVERLAP	presence rollback; unset: automatic/default path; any value including 0 disables	Prevents full-layer page-in preparation from overlapping compute.	ds4.c:19317
runtime/metal	DS4_METAL_STREAMING_PREFILL_LAYER_PAGEIN_PROFILE	presence diagnostic; unset: off; any value including 0 enables	Prints timing/profile diagnostics for streaming prefill layer pagein.	ds4.c:19606
runtime/metal	DS4_METAL_STREAMING_PREFILL_LAYER_PAGEIN_THREADS	integer 1..16; default 8; invalid/0 becomes 1; PREPARE_THREADS takes precedence	Sets worker count for full-layer page-in preparation.	ds4.c:19275
runtime/metal	DS4_METAL_STREAMING_PREFILL_LAYER_PREAD_PROFILE	presence diagnostic; unset: off; any value including 0 enables	Prints timing/profile diagnostics for streaming prefill layer pread.	ds4.c:19608
runtime/metal	DS4_METAL_STREAMING_PREFILL_LAYER_PREPARE_AHEAD	integer 1..4 layers; default 1; invalid/0 becomes 1	Sets number of future layers prepared concurrently.	ds4.c:19329
runtime/metal	DS4_METAL_STREAMING_PREFILL_LAYER_PREPARE_NO_OVERLAP	presence rollback; unset: automatic/default path; any value including 0 disables	Prevents generic full-layer preparation from overlapping compute.	ds4.c:19315
runtime/metal	DS4_METAL_STREAMING_PREFILL_LAYER_PREPARE_THREADS	integer 1..16; default 8; invalid/0 becomes 1; preferred over PAGEIN_THREADS	Sets worker count for full-layer preparation.	ds4.c:19271
runtime/metal	DS4_METAL_STREAMING_PREFILL_LAYER_READAHEAD_PROFILE	presence diagnostic; unset: off; any value including 0 enables	Prints timing/profile diagnostics for streaming prefill layer readahead.	ds4.c:19612
runtime/metal	DS4_METAL_STREAMING_PREFILL_SELECTED_MADVISE_PROFILE	presence diagnostic; unset: off; any value including 0 enables	Prints timing/profile diagnostics for streaming prefill selected madvise.	ds4.c:19356
runtime/metal	DS4_METAL_STREAMING_PREFILL_SELECTED_MADVISE_THREADS	integer 1..16; default inherits layer prepare threads; invalid/0 becomes 1; PREPARE_THREADS preferred	Sets worker count for selected-expert madvise preparation.	ds4.c:19293
runtime/metal	DS4_METAL_STREAMING_PREFILL_SELECTED_PAGEIN_PROFILE	presence diagnostic; unset: off; any value including 0 enables	Prints timing/profile diagnostics for streaming prefill selected pagein.	ds4.c:19354
runtime/metal	DS4_METAL_STREAMING_PREFILL_SELECTED_PREPARE_GAP	integer 0..8 layers; default 0; above 8 clamps; invalid restores 0	Sets lookahead gap for selected-expert preparation.	ds4.c:19305
runtime/metal	DS4_METAL_STREAMING_PREFILL_SELECTED_PREPARE_THREADS	integer 1..16 for madvise preparation; default inherits layer prepare threads; invalid/0 becomes 1	Sets worker count for selected-expert preparation.	ds4.c:19289
runtime/metal	DS4_METAL_STREAMING_PREFILL_SELECTED_PROFILE	presence diagnostic; unset: off; any value including 0 enables	Prints timing/profile diagnostics for streaming prefill selected.	ds4.c:18906
runtime/metal	DS4_METAL_STREAMING_PREFILL_SELECTED_READAHEAD_GAP	integer 0..8 layers; default 0; above 8 clamps; invalid restores 0	Sets lookahead gap for selected-expert readahead.	ds4.c:19978
runtime/metal	DS4_METAL_STREAMING_PREFILL_SELECTED_READAHEAD_PROFILE	presence diagnostic; unset: off; any value including 0 enables	Prints timing/profile diagnostics for streaming prefill selected readahead.	ds4.c:20063
runtime/metal	DS4_METAL_STREAMING_SELECTED_READAHEAD_PROFILE	presence diagnostic; unset: off; any value including 0 enables	Prints timing/profile diagnostics for streaming selected readahead.	ds4.c:21737
runtime/metal	DS4_METAL_SUM_ROWS_SOURCE	file path; unset/empty: use the in-tree Metal source file	Overrides the sum-rows Metal kernel source file loaded at runtime.	ds4_metal.m:4947
runtime/metal	DS4_METAL_TEST_POISON_COMPRESSOR_EXACT_REDUCTION_SCRATCH	internal test presence flag; unset: off; any value including 0 poisons scratch before the exact reduction	Validates that compressor exact-reduction kernels overwrite all scratch state.	ds4_metal.m:25925
runtime/metal	DS4_METAL_TP_SESSION_BATCH	default enabled; exact 0 disables; every other value/unset leaves enabled	Controls batched session evaluation with Metal TP.	ds4.c:65310
runtime/metal	DS4_METAL_TRACE_ALLOCS	presence diagnostic; unset: off; any value including 0 enables	Emits trace diagnostics for allocs.	ds4_metal.m:4057
runtime/metal	DS4_METAL_TRACE_M5_FLASH_ATTN_PACKED32_REDUCE	presence diagnostic; unset: off; any value including 0 enables	Emits trace diagnostics for M5 flash attn packed32 reduce.	ds4_metal.m:31535
runtime/metal	DS4_METAL_UNARY_SOURCE	file path; unset/empty: use the in-tree Metal source file	Overrides the unary operations Metal kernel source file loaded at runtime.	ds4_metal.m:4939
runtime/metal	DS4_METAL_UNRETAINED_COMMAND_BUFFERS	presence control; unset: off/default; any value including 0 enables	Creates Metal command buffers with unretained references.	ds4_metal.m:1315
runtime/metal	DS4_METAL_USE_QUEUE_RESIDENCY_SET	presence control; unset: off/default; any value including 0 enables	Allows queue-residency state to trigger Q4 expert address/table paths.	ds4_metal.m:42280
runtime/moe-debug	DS4_MOE_RECORD_SELECTED_HOTLIST	nonempty output path; unset=off	Record per-layer selected-expert hit counts to a Metal hotlist file.	ds4_metal.m:1741
runtime/moe-debug	DS4_MOE_RECORD_SELECTED_HOTLIST_FRESH	presence flag; only relevant with HOTLIST; overrides MERGE	Start the selected-expert hotlist from empty state.	ds4_metal.m:1642
runtime/moe-debug	DS4_MOE_RECORD_SELECTED_HOTLIST_MERGE	presence flag; active only when FRESH is absent	Merge an existing selected-expert hotlist before recording.	ds4_metal.m:1641
runtime/moe-debug	DS4_MOE_RECORD_SELECTED_IDS	nonempty output path; unset=off	Record routed-MoE six-expert selections; also disables incompatible optimized paths.	ds4.c:65290
runtime/moe-debug	DS4_MOE_REPLAY_SELECTED_IDS	nonempty input path; unset=off	Replay routed-MoE six-expert selections; also disables incompatible optimized paths.	ds4.c:25308
runtime/mtp	DS4_MTP_BATCH_VERIFY	Pure presence flag: any defined value, including empty or "0", suppresses the exact two-row decode verifier. Unset selects exact decode-2 when draft_n==2 and either strict mode is active or the build is ROCm; other cases already use the generic verifier.	Diagnostic rollback from the exact Q8/one-token-equivalent MTP decode-2 verifier to the generic microbatch verifier.	ds4.c:71021
runtime/mtp	DS4_MTP_CAPTURE_PREFIX1	Pure presence flag. In the generic verifier with exactly two drafts it enables prefix-1 state capture under strict mode; non-strict mode already captures prefix-1 without the variable. Unset under strict mode instead snapshots and replays a partial acceptance.	Let a one-of-two MTP partial acceptance commit the verifier's captured prefix directly, avoiding an exact one-token replay.	ds4.c:71134
runtime/mtp	DS4_MTP_CONF_LOG	Pure presence flag; default off. It forces materialization of full draft logits, computes the top-2 margin, and after a successful generic microbatch verification prints drafted/committed counts, top candidates, margin, target-next and draft-next. Exact decode-2 success does not emit that generic log line.	Inspect MTP draft confidence and compare the recursive draft token with the target verifier result.	ds4.c:70900
runtime/mtp	DS4_MTP_EXACT_REPLAY	Pure presence flag; default off. In the generic microbatch verifier it forces a pre-verifier frontier snapshot; after verification the snapshot is restored and every accepted draft is decoded sequentially to rebuild exact final state/logits.	Validate MTP acceptance while committing through the normal one-token decode path rather than retaining batched-verifier state.	ds4.c:71139
runtime/mtp	DS4_MTP_FORCE_SNAPSHOT	Pure presence flag; default off. It forces a speculative-frontier snapshot before the generic verifier regardless of draft count or prefix-capture mode; it does not by itself force restoration or replay after a successful full acceptance.	Measure/debug snapshot behavior and guarantee a restorable pre-verifier frontier for generic MTP verification.	ds4.c:71143
runtime/mtp	DS4_MTP_FULL_LOGITS	Pure presence flag; default off. When set, legacy and recursive MTP draft calls write the full vocabulary logits to s->mtp_logits; unset permits the faster top-token-only output unless confidence/margin logic independently needs logits.	Force full MTP draft-logit materialization for correctness comparison, inspection, or downstream confidence calculations.	ds4.c:64260
runtime/mtp	DS4_MTP_MIN_MARGIN	non-negative float; default engine --mtp-margin value	Set confidence margin threshold for speculative MTP verification.	ds4.c:70893
runtime/mtp	DS4_MTP_PROBE	Pure presence flag; default off. For legacy MTP it prepares drafts even when configured depth<=1, compares the previous draft with the next committed token, and prints cumulative hit counts/failures; generated output is unchanged.	Measure legacy MTP next-token draft accuracy without enabling speculative acceptance.	ds4.c:64990
runtime/mtp	DS4_MTP_SPEC_DISABLE	Pure presence flag: any defined value, including empty or "0", disables MTP speculative argmax in CLI/chat/server loops. Unset permits it for greedy temperature<=0 generation with draft depth>1; unrelated split-KV speculation can still be independently requested.	Fall back from MTP multi-token speculative evaluation to normal one-token session evaluation.	ds4_cli.c:580
runtime/mtp	DS4_MTP_SPEC_LOG	Pure presence flag; default off. It only emits diagnostics for first-draft misses, exact/generic verifier failures and sequential fallback misses/acceptance outcomes; it does not select a verifier.	Trace why MTP drafts were accepted, partially accepted, rejected, or sent to sequential fallback.	ds4.c:71542
runtime/mtp	DS4_MTP_STRICT	Pure presence flag; engine quality mode also enables strictness automatically. Strict mode skips the non-strict low-margin shortcut, selects exact decode-2 for two drafts unless DS4_MTP_BATCH_VERIFY is set, and disables default prefix-1 capture unless explicitly restored.	Force the exact/quality-oriented MTP verification policy on otherwise non-quality runs.	ds4.c:71517
runtime/mtp	DS4_MTP_TIMING	Pure presence flag; default off. When set, timestamps and prints draft, snapshot, verifier, prefix/replay and total durations for the path taken; algorithm selection is otherwise unchanged.	Profile end-to-end MTP speculative decoding and separate draft, verification and state-commit costs.	ds4.c:71525
runtime/rocm	DS4_ROCM_DECODE_STAGE_PROFILE	presence/nonempty diagnostic; unset=off (path-valued DUMP names are noted by purpose)	Collect timing/profile diagnostics for rocm decode stage profile.	ds4.c:18259
runtime/rocm	DS4_ROCM_DECODE_STAGE_PROFILE_LAYER	layer filter subordinate to DS4_ROCM_DECODE_STAGE_PROFILE; unset or whitespace-only: all layers allowed by the parent flag; otherwise the whitespace-trimmed value must be a complete base-10 strtoul result <= UINT32_MAX equal to the current layer; invalid values match none	Restricts the ROCm decode stage profiler to one layer; it does not enable profiling by itself.	ds4.c:29131
runtime/rocm	DS4_ROCM_DISABLE_BATCH_INDEXER_QUERY_PRUNE	presence rollback; unset prunes unused zero-prefix indexer query work on eligible resident ROCm prefills; any value including 0 disables	Restore transient indexer Q projection, RoPE, QAT, and weight projection before compressed rows exceed top-k.	ds4.c:30131
runtime/rocm	DS4_ROCM_DISABLE_GFX1151_PREFILL_WMMA_ATTN	value-aware rollback evaluated on every eligible launch; unset/0/false/no/off is inactive, while empty or 1/true/yes/on disables; invalid values fail closed; true overrides both ENABLE variables	Force both experimental gfx1151 mixed-attention WMMA prefill paths back to their established scalar/online fallbacks for correctness or A/B measurement.	rocm/ds4_rocm_attention_launch.cuh:13
runtime/rocm	DS4_ROCM_DISABLE_GLM_STREAMING_PREFILL_FULL_LAYER	integer selector/tuning value; unset or invalid uses internal automatic/default value	Disable/roll back rocm disable glm streaming prefill full layer.	ds4.c:42970
runtime/rocm	DS4_ROCM_DISABLE_GLM_STREAMING_PREFILL_FULL_LAYER_PREPARE	presence rollback flag; unset keeps automatic/default path	Disable/roll back rocm disable glm streaming prefill full layer prepare.	ds4.c:42988
runtime/rocm	DS4_ROCM_DISABLE_GLM_STREAMING_PREFILL_SELECTED_ASYNC_LOAD	presence rollback flag; unset keeps automatic/default path	Disable/roll back rocm disable glm streaming prefill selected async load.	ds4.c:46681
runtime/rocm	DS4_ROCM_DISABLE_GLM_STREAMING_SELECTED_ASYNC_LOAD	presence rollback flag; unset keeps automatic/default path	Disable/roll back rocm disable glm streaming selected async load.	ds4.c:44589
runtime/rocm	DS4_ROCM_DISABLE_IQ2_MOE_WMMA_TAIL_CULL	value-aware boolean evaluated on every eligible launch; unset is inactive; after trimming whitespace, empty or 1/true/yes/on enables and 0/false/no/off disables (words case-insensitive); invalid values disable the candidate with a one-time diagnostic; true overrides ENABLE	Force the opt-in tail-wave cull off for mixed IQ2_XXS gate/up plus Q2_K down hot-list rocWMMA prefill, providing the A/B baseline and rollback arm.	rocm/ds4_rocm_moe_launch.cuh:20
runtime/rocm	DS4_ROCM_DISABLE_IQ2_SELECTED_EXPERT_VIEWS	presence rollback flag; unset keeps automatic/default path	Disable/roll back rocm disable iq2 selected expert views.	ds4.c:21094
runtime/rocm	DS4_ROCM_DISABLE_IQ2_STREAM_ADDR_TABLE	presence rollback flag; unset keeps automatic/default path	Disable/roll back rocm disable iq2 stream addr table.	ds4.c:6548
runtime/rocm	DS4_ROCM_DISABLE_Q4_ATTN_Q_B_F16_CACHE	value-aware rollback; unset/0/false/no/off keeps the experiment available, empty or any other value disables it	Disable the resident ROCm Q4_K attn_q_b-to-F16 prefill cache even when ENABLE or REQUIRE is set.	rocm/ds4_rocm_q4_qb_sidecar.cuh:140
runtime/rocm	DS4_ROCM_DISABLE_Q4_ATTN_Q_B_TRANSIENT_F16	value-aware rollback; unset/0/false/no/off keeps the automatic path eligible, empty or any other non-false value disables it	Disable per-layer transient Q4_K attn_q_b-to-F16 scratch for device-image or device-range-resident weights; the existing resident-cache controls remain independent and otherwise eligible calls use native Q4.	rocm/ds4_rocm_q4_qb_sidecar.cuh:145
runtime/rocm	DS4_ROCM_DISABLE_Q4_DECODE_LANE4	presence rollback; any defined value including empty or 0 disables	Restore the canonical eight-lane standalone Q-b decode; a simultaneous REQUIRE fails before enqueue.	rocm/ds4_rocm_q4.cuh:114
runtime/rocm	DS4_ROCM_DISABLE_Q4_DENSE_PAIR	presence rollback; unset leaves opt-in policy unchanged	Disable/roll back rocm disable q4 dense pair.	rocm/ds4_rocm_q4.cuh:435
